Temp_chambre;Temp_Lyon;Ouverture;Heure;Temp_1H
24,125;23,075;0;0;-0,1
24,025;22,575;0;3600;-0,125
23,9;22,15;0;7200;-0,1
23,8;21,825;0;10800;-0,05
23,75;21,625;0;14400;-0,125
23,625;21,375;0;18000;-0,25
23,375;20,95;0;21600;-0,225
23,15;20,725;0;25200;-0,1
23,05;20,725;0;28800;-0,2
22,85;21;0;32400;-0,125
22,725;21,55;0;36000;0,125
22,85;22,425;0;39600;0,3
23,15;23,425;0;43200;0,3
23,45;24,1;0;46800;0,225
23,675;24,65;0;50400;0,225
23,9;25,175;0;54000;0,2
24,1;25,75;0;57600;0,225
24,325;26,075;0;61200;0,125
24,45;26,225;0;64800;0,05
24,5;26;0;68400;0
24,5;25,775;0;72000;0,05
24,55;25,45;0;75600;0,05
24,6;25,15;0;79200;0
24,6;24,925;0;82800;0
24,6;24,65;0;0;0
24,6;24,25;0;3600;-0,1
24,5;23,9;0;7200;-0,075
24,425;23,55;0;10800;-0,05
24,375;23,3;0;14400;-0,075
24,3;23,025;0;18000;-0,125
24,175;22,65;0;21600;-0,075
24,1;22,425;0;25200;-0,1
24;22,475;0;28800;-0,025
23,975;22,75;0;32400;0
23,975;23,4;0;36000;0,1
24,075;24,25;0;39600;0,225
24,3;25,125;0;43200;0,15
24,45;25,85;0;46800;0,175
24,625;26,225;0;50400;0,125
24,75;26,65;0;54000;0,183
24,933333;27,066667;0;57600;0,192
25,125;27,35;0;61200;0,075
25,2;27,25;0;64800;0
25,2;27,05;0;68400;0
25,2;26,7;0;72000;0
25,2;26,25;0;75600;0
25,2;25,775;0;79200;0
25,2;25,3;0;82800;-0,1
25,1;24,86;0;0;0
25,1;24,425;0;3600;0
25,1;24,025;0;7200;-0,1
25;23,65;0;10800;-0,05
24,95;23,3;0;14400;-0,05
24,9;23,025;0;18000;-0,1
24,8;22,7;0;21600;-0,125
24,675;22,4;0;25200;-0,075
24,6;22,325;0;28800;-0,075
24,525;22,55;0;32400;-0,1
24,425;23,125;0;36000;0,05
24,475;23,9;0;39600;0,1
24,575;24,775;0;43200;0,125
24,7;25,45;0;46800;0,25
24,95;25,925;0;50400;-24,95
25,625;25,85;0;39600;0,25
25,875;26,75;0;43200;0,25
26,125;27,55;0;46800;0,275
26,4;28,2;0;50400;0,3
26,7;28,775;0;54000;0,275
26,975;29,275;0;57600;0,125
27,1;29,45;0;61200;0,05
27,15;29,225;0;64800;-0,125
27,025;28,875;0;68400;-0,025
27;28,7;0;72000;-0,05
26,95;28,2;0;75600;-0,05
26,9;27,725;0;79200;0
;;0;80324;0
26,9;27,325;0;82800;0
26,9;27,025;0;0;-0,1
;;1;2585;0
26,8;26,725;1;3600;0
26,8;26,4;1;7200;-0,05
26,75;26,075;1;10800;-0,05
26,7;25,775;1;14400;-0,1
26,6;25,475;1;18000;-0,1
26,5;25,175;1;21600;-0,1
26,4;25,025;1;25200;0
26,4;25,15;1;28800;0
26,4;25,6;1;32400;0
26,4;26,3;1;36000;0,125
26,525;27,075;1;39600;0,225
26,75;28,025;1;43200;0,275
27,025;28,95;1;46800;0,2
27,225;29,55;1;50400;0,275
27,5;30,225;1;54000;0,225
27,725;30,8;1;57600;0,075
27,8;31,025;1;61200;0,175
27,975;31,1;1;64800;0,3
28,275;31,225;1;68400;-0,1
28,175;30,475;1;72000;-0,15
28,025;29,675;1;75600;-0,1
27,925;29,075;1;79200;-0,025
27,9;28,6;1;82800;0,025
27,925;28,2;1;0;0,025
27,95;27,75;1;3600;-0,175
27,775;27,35;1;7200;-0,175
27,6;26,8;1;10800;-0,1
27,5;26,475;1;14400;-0,075
27,425;26,2;1;18000;-0,225
27,2;25,8;1;21600;-0,25
26,95;25,45;1;25200;-0,125
26,825;25,45;1;28800;-0,25
26,575;25,825;1;32400;0,025
26,6;26,675;1;36000;0,5
27,1;27,65;1;39600;0,475
27,575;28,55;1;43200;0,05
27,625;29,2;1;46800;0,125
27,75;29,725;1;50400;0,175
27,925;30,175;1;54000;0,4
28,325;30,625;1;57600;0,3
28,625;30,6;1;61200;0,1
28,725;30,225;1;64800;-0,225
28,5;29,975;1;68400;-0,15
28,35;29,55;1;72000;-0,05
28,3;29,2;1;75600;0
28,3;28,925;1;79200;0
28,3;28,7;1;82800;0,05
28,35;28,425;1;0;-0,125
28,225;26,975;1;3600;-0,125
28,1;24,525;1;7200;-0,075
28,025;24,725;1;10800;-0,075
27,95;24,625;1;14400;-0,25
27,7;24,425;1;18000;-0,15
27,55;24,25;1;21600;-0,05
27,5;24,075;1;25200;-0,15
27,35;24,325;1;28800;-0,475
26,875;24,85;1;32400;-0,325
26,55;25,775;1;36000;0,3
26,85;26,8;1;39600;0,35
27,2;27,675;1;43200;0,275
27,475;28,275;1;46800;0,125
27,6;28,45;1;50400;-0,025
27,575;27,725;1;54000;-0,15
27,425;26,975;1;57600;-0,025
27,4;27,625;1;61200;0,075
27,475;27,85;1;64800;0,025
27,5;27,625;1;68400;-0,025
27,475;27,025;1;72000;-0,325
27,15;26,375;1;75600;-0,25
26,9;26,075;1;79200;0,225
27,125;25,925;1;82800;0,175
27,3;25,7;1;0;0,05
27,35;25,475;1;3600;-0,05
27,3;25,25;1;7200;-0,075
27,225;24,9;1;10800;-0,075
27,15;24,625;1;14400;-0,45
26,7;23,95;1;18000;-0,425
26,275;23,475;1;21600;0,05
26,325;23,6;1;25200;-0,125
26,2;24,05;1;28800;-0,65
25,55;24,5;1;32400;0,025
25,575;25,4;1;36000;0,425
26;26,25;1;39600;0,575
26,575;27,125;1;43200;0,675
27,25;27,875;1;46800;0,45
27,7;28,5;1;50400;-0,2
;;0;52912;0
27,5;29,25;0;54000;-0,175
27,325;29,075;0;57600;0
27,325;28,825;0;61200;0,25
;;1;63621;0
27,575;28,8;1;64800;0,125
27,7;28,375;1;68400;-0,25
27,45;27,5;1;72000;-0,7
26,75;26,35;1;75600;-0,7
26,05;25,2;1;79200;-0,6
25,45;24,55;1;82800;-0,275
25,175;24,6;1;0;0,525
25,7;24,35;1;3600;0,525
26,225;24,175;1;7200;0,125
26,35;24,025;1;10800;-0,2
26,15;23,525;1;14400;-0,575
25,575;23,125;1;18000;-0,5
25,075;22,9;1;21600;0,4
25,475;23;1;25200;-0,5
24,975;23,175;1;28800;-0,6
24,375;23,55;1;32400;0,1
24,475;24,45;1;36000;0,225
24,7;25,075;1;39600;0,375
25,075;25,45;1;43200;-25,075
;;0;44388;0
25,85;26,325;0;50400;0,3
26,15;27,075;0;54000;0,125
26,275;27,55;0;57600;0,025
26,3;27,1;0;61200;0
26,3;25,975;0;64800;0,075
26,375;25,375;0;68400;0,025
26,4;25,2;0;72000;0,05
26,45;25,05;0;75600;0,05
26,5;24,775;0;79200;0
26,5;24,375;0;82800;0,05
26,55;24,075;0;0;0,05
26,6;23,55;0;3600;0
26,6;23,45;0;7200;0
26,6;23,5;0;10800;0
26,6;23,425;0;14400;0
26,6;23,25;0;18000;0
26,6;23,025;0;21600;-0,1
26,5;23;0;25200;0
26,5;23,15;0;28800;-0,075
26,425;23,55;0;32400;-0,3
;;1;33866;0
26,125;24,05;1;36000;-0,2
25,925;24,7;1;39600;-0,1
25,825;24,95;1;43200;-0,075
25,75;25,4;1;46800;0
25,75;25,875;1;50400;0,25
26;26,525;1;54000;0,2
26,2;27,1;1;57600;0,15
26,35;27,125;1;61200;0,025
26,375;26,75;1;64800;-0,075
26,3;26,475;1;68400;-0,05
26,25;25,975;1;72000;-0,05
26,2;25,55;1;75600;0
26,2;25,175;1;79200;-0,05
26,15;24,825;1;82800;0
26,15;24,475;1;0;0,15
26,3;24,25;1;3600;0
26,3;23,975;1;7200;-0,05
26,25;23,775;1;10800;-0,075
26,175;23,425;1;14400;-0,075
26,1;23,075;1;18000;-0,1
26;22,9;1;21600;-0,1
25,9;23;1;25200;-0,1
25,8;23,25;1;28800;-0,025
25,775;23,7;1;32400;0,025
25,8;24,625;1;36000;0,05
25,85;25,825;1;39600;0,05
25,9;26,3;1;43200;-25,9
26,175;27,3;1;50400;0,175
26,35;27,825;1;54000;0,175
26,525;28,25;1;57600;0,125
26,65;28,425;1;61200;0,05
26,7;28,3;1;64800;0
26,7;28;1;68400;0
26,7;27,6;1;72000;-0,1
26,6;27,1;1;75600;0
26,6;26,625;1;79200;0
26,6;26,25;1;82800;-0,075
26,525;25,925;1;0;-0,025
26,5;25,7;1;3600;-0,05
26,45;25,375;1;7200;-0,1
26,35;24,95;1;10800;-0,175
26,175;24,55;1;14400;-0,125
26,05;24,275;1;18000;-0,1
25,95;23,925;1;21600;-0,05
25,9;23,75;1;25200;0,1
26;23,95;1;28800;0,05
26,05;24,325;1;32400;-0,1
25,95;24,925;1;36000;0,05
26;25,65;1;39600;0,25
26,25;26,55;1;43200;0,2
26,45;27,2;1;46800;0,1
26,55;27,575;1;50400;0,2
26,75;28;1;54000;0,15
26,9;28,3;1;57600;0,1
27;28,5;1;61200;0,1
27,1;28,4;1;64800;-0,075
27,025;28,175;1;68400;-0,025
27;27,7;1;72000;0
27;27,2;1;75600;-0,1
26,9;26,775;1;79200;-0,2
26,7;26,425;1;82800;-0,05
26,65;26;1;0;0,15
26,8;25,55;1;3600;0
26,8;25,15;1;7200;-0,1
26,7;24,8;1;10800;-0,075
26,625;24,45;1;14400;-0,125
26,5;24,125;1;18000;-0,075
26,425;23,95;1;21600;-0,175
26,25;23,875;1;25200;-0,075
26,175;23,95;1;28800;-0,075
26,1;24,175;1;32400;-0,025
26,075;24,825;1;36000;0
26,075;25,675;1;39600;0,075
26,15;26,575;1;43200;0,225
;;0;46296;0
26,375;27,3;0;46800;0,125
26,5;27,75;0;50400;0,1
26,6;28,175;0;54000;0,15
26,75;28,65;0;57600;0,05
26,8;28,8;0;61200;0,1
26,9;28,75;0;64800;0
;;1;65459;0
26,9;28,5;1;68400;0,1
27;28,025;1;72000;0
27;27,575;1;75600;0
27;27,15;1;79200;0,05
27,05;26,925;1;82800;0,05
27,1;26,4;1;0;-0,1
27;25,95;1;3600;-0,075
26,925;25,9;1;7200;-0,1
26,825;25,9;1;10800;-0,1
26,725;25,3;1;14400;-0,125
26,6;24,5;1;18000;-0,15
26,45;24,3;1;21600;-0,25
;;0;24805;0
26,2;23,875;0;25200;0,275
26,475;23,925;0;28800;0,125
26,6;24,125;0;32400;0,05
26,65;24,7;0;36000;0,05
26,7;25,7;0;39600;0
26,7;26,425;0;43200;0,05
26,75;26,975;0;46800;0,05
26,8;27,55;0;50400;0,1
26,9;27,925;0;54000;0,075
26,975;28,275;0;57600;0,025
27;28,325;0;61200;0
27;28,25;0;64800;0
27;27,9;0;68400;0
27;27,45;0;72000;0
27;26,975;0;75600;0
27;26,525;0;79200;0
27;26,25;0;82800;0
27;25,65;0;0;0
27;25;0;3600;0
27;24,125;0;7200;0
27;23,425;0;10800;-0,075
26,925;22,675;0;14400;-0,025
26,9;22,2;0;18000;-0,075
26,825;21,75;0;21600;-0,05
26,775;21,375;0;25200;-0,075
26,7;21,325;0;28800;-0,075
26,625;21,65;0;32400;-0,05
26,575;22,15;0;36000;-0,075
26,5;22,95;0;39600;0
26,5;23,7;0;43200;0
26,5;24,25;0;46800;0
26,5;24,7;0;50400;0,025
26,525;25,15;0;54000;0,075
26,6;25,675;0;57600;0
26,6;25,95;0;61200;0
26,6;25,9;0;64800;0
26,6;25,6;0;68400;-0,075
26,525;25,25;0;72000;-0,025
26,5;24,875;0;75600;-0,525
;;1;77487;0
25,975;24,55;1;79200;-0,25
;;0;81800;0
25,725;24,075;0;82800;0,6
26,325;23,65;0;0;0,125
26,45;23,125;0;3600;0,05
26,5;22,675;0;7200;-0,075
26,425;22,325;0;10800;-0,025
26,4;21,95;0;14400;-0,075
26,325;21,6;0;18000;-0,075
26,25;21,175;0;21600;-0,05
26,2;21,1;0;25200;-0,525
25,675;21,3;0;28800;-1,95
;;1;28883;0
23,725;21,7;1;32400;-0,275
23,45;22,5;1;36000;0,425
23,875;23,675;1;39600;0,625
;;0;40890;0
24,5;24,3;0;43200;0,55
25,05;24,825;0;46800;0,475
25,525;25,875;0;50400;0,075
25,6;26,5;0;54000;0,1
25,7;26,925;0;57600;0,1
25,8;27;0;61200;0,1
;;1;63605;0
25,9;26,675;1;64800;0,1
26;26,4;1;68400;0
26;26,15;1;72000;0
26;25,8;1;75600;0
26;25,425;1;79200;-0,1
25,9;25,075;1;82800;-0,1
25,8;24,7;1;0;0,3
26,1;24,275;1;3600;0
26,1;24,05;1;7200;0
26,1;23,65;1;10800;0
26,1;23,425;1;14400;-0,025
26,075;23,15;1;18000;-0,175
25,9;22,9;1;21600;-0,2
