"DateTime";"[Chambre][5PST02-A 4in1 Multi-Sensor][Ouverture] ";"[Chambre][Chambre à coucher][Température] °C";"[Lyon][exterieur][Température] °C"
"2018-05-06 00:00:00";;19,2;19,75
"2018-05-06 01:00:00";;19,2;19,45
"2018-05-06 02:00:00";;19,225;19,25
"2018-05-06 03:00:00";;19,3;19,075
"2018-05-06 04:00:00";;19,3;18,9
"2018-05-06 05:00:00";;19,3;18,675
"2018-05-06 06:00:00";;19,3;18,5
"2018-05-06 07:00:00";;19,3;18,45
"2018-05-06 08:00:00";;19,3;18,65
"2018-05-06 09:00:00";;19,3;19,175
"2018-05-06 10:00:00";;19,3;20,075
"2018-05-06 11:00:00";;19,45;20,85
"2018-05-06 12:00:00";;19,775;21,7
"2018-05-06 13:00:00";;19,9;22,4
"2018-05-06 14:00:00";;19,9;22,975
"2018-05-06 15:00:00";;20;23,5
"2018-05-06 16:00:00";;20,1;23,775
"2018-05-06 17:00:00";;20,1;23,775
"2018-05-06 18:00:00";;20,125;23,55
"2018-05-06 18:50:22";1
"2018-05-06 19:00:00";;20,325;23,1
"2018-05-06 20:00:00";;20,525;22,575
"2018-05-06 21:00:00";;20,6;22,225
"2018-05-06 22:00:00";;20,725;21,975
"2018-05-06 22:44:44";0
"2018-05-06 23:00:00";;21,125;21,75
"2018-05-07 00:00:00";;21,4;21,5
"2018-05-07 01:00:00";;21,35;21,225
"2018-05-07 02:00:00";;21,3;20,95
"2018-05-07 03:00:00";;21,2;20,65
"2018-05-07 04:00:00";;21,175;20,4
"2018-05-07 05:00:00";;21,1;20,2
"2018-05-07 06:00:00";;21,1;19,85
"2018-05-07 07:00:00";;21,175;19,825
"2018-05-07 08:00:00";;21,5;20,025
"2018-05-07 08:31:55";1
"2018-05-07 09:00:00";;21,6;20,6
"2018-05-07 10:00:00";;21,525;21,475
"2018-05-07 11:00:00";;21,5;22,25
"2018-05-07 12:00:00";;21,6;23,05
"2018-05-07 13:00:00";;21,6;23,75
"2018-05-07 14:00:00";;21,7;24,3
"2018-05-07 15:00:00";;21,8;24,8
"2018-05-07 16:00:00";;21,875;25
"2018-05-07 17:00:00";;21,9;24,925
"2018-05-07 18:00:00";;21,95;24,65
"2018-05-07 19:00:00";;22;24,1
"2018-05-07 20:00:00";;22;23,625
"2018-05-07 21:00:00";;22;23,075
"2018-05-07 22:00:00";;22;22,2
"2018-05-07 23:00:00";;22,1;21,675
"2018-05-08 00:00:00";;22,2;21,4
"2018-05-08 01:00:00";;22,125;21,125
"2018-05-08 02:00:00";;22,1;20,85
"2018-05-08 03:00:00";;22;20,65
"2018-05-08 04:00:00";;21,825;20,25
"2018-05-08 05:00:00";;21,75;20
"2018-05-08 06:00:00";;21,65;19,825
"2018-05-08 07:00:00";;21,575;19,675
"2018-05-08 08:00:00";;21,45;19,85
"2018-05-08 09:00:00";;21,225;20,475
"2018-05-08 10:00:00";;21,1;20,825
"2018-05-08 11:00:00";;21,225;21,6
"2018-05-08 12:00:00";;21,5;22,35
"2018-05-08 13:00:00";;21,675;22,7
"2018-05-08 14:00:00";;21,85;23,4
"2018-05-08 15:00:00";;21,875;23,5
"2018-05-08 16:00:00";;21,9;23,7
"2018-05-08 17:00:00";;22;23,775
"2018-05-08 18:00:00";;22;23,775
"2018-05-08 19:00:00";;22;23,05
"2018-05-08 20:00:00";;21,925;22,25
"2018-05-08 21:00:00";;21,775;21,475
"2018-05-08 22:00:00";;21,65;21,125
"2018-05-08 23:00:00";;21,75;20,925
"2018-05-08 23:14:35";0
"2018-05-09 00:00:00";;22,075;20,825
"2018-05-09 01:00:00";;22,1;20,775
"2018-05-09 02:00:00";;22,1;20,7
"2018-05-09 03:00:00";;22,1;20,625
"2018-05-09 04:00:00";;22,075;20,5
"2018-05-09 05:00:00";;22;20,25
"2018-05-09 06:00:00";;22;20,025
"2018-05-09 07:00:00";;22;19,9
"2018-05-09 08:00:00";;22,025;20,05
"2018-05-09 08:57:56";1
"2018-05-09 09:00:00";;21,8;20,65
"2018-05-09 10:00:00";;21,575;20,775
"2018-05-09 11:00:00";;21,5;21,125
"2018-05-09 12:00:00";;21,5;21,725
"2018-05-09 13:00:00";;21,55;22,15
"2018-05-09 14:00:00";;21,75;22,8
"2018-05-09 15:00:00";;21,95;23,325
"2018-05-09 16:00:00";;22,1;23,35
"2018-05-09 17:00:00";;22,1;23,025
"2018-05-09 18:00:00";;22,125;22,55
"2018-05-09 19:00:00";;22,025;22,1
"2018-05-09 20:00:00";;21,9;21,45
"2018-05-09 20:43:01";0
"2018-05-09 21:00:00";;21,9;21
"2018-05-09 22:00:00";;21,9;20,7
"2018-05-09 23:00:00";;21,9;20,55
"2018-05-10 00:00:00";;21,9;20,275
"2018-05-10 01:00:00";;21,9;20,075
"2018-05-10 02:00:00";;21,85;19,925
"2018-05-10 03:00:00";;21,8;20
"2018-05-10 04:00:00";;21,8;19,9
"2018-05-10 05:00:00";;21,75;19,8
"2018-05-10 06:00:00";;21,7;19,65
