"DateTime";"[Chambre][5PST02-A 4in1 Multi-Sensor][Ouverture] ";"[Chambre][Chambre à coucher][Température] °C";"[Chambre][Chambre à coucher][CO2] ppm";"[Lyon][exterieur][Température] °C"
"2018-04-05 00:00:00";;20,26;940,8;13,96
"2018-04-05 01:00:00";;20,175;1063,25;13,75
"2018-04-05 02:00:00";;19,925;1082;13,65
"2018-04-05 03:00:00";;19,8;1066;13,675
"2018-04-05 04:00:00";;19,6;1062,25;13,625
"2018-04-05 05:00:00";;19,575;1135,5;13,5
"2018-04-05 05:57:05";0
"2018-04-05 06:00:00";;19,9;1059,75;13,4
"2018-04-05 07:00:00";;20,1;1054;13,4
"2018-04-05 08:00:00";;20,375;1136,5;13,525
"2018-04-05 09:00:00";;20,475;933;13,625
"2018-04-05 10:00:00";;20,1;681,5;14,075
"2018-04-05 11:00:00";;19,15;498,25;14,85
"2018-04-05 11:22:22";1
"2018-04-05 12:00:00";;19,525;641,5;15,375
"2018-04-05 13:00:00";;19,7;646,25;15,975
"2018-04-05 14:00:00";;19,625;673,25;16,275
"2018-04-05 15:00:00";;19,525;769,5;16,725
"2018-04-05 16:00:00";;19,6;898,25;16,975
"2018-04-05 17:00:00";;19,575;1045,5;16,85
"2018-04-05 18:00:00";;19,65;950;16,5
"2018-04-05 19:00:00";;19,4;871,5;15,95
"2018-04-05 20:00:00";;19,375;750;15,55
"2018-04-05 21:00:00";;19,525;677,25;15,1
"2018-04-05 22:00:00";;19,775;648,25;14,8
"2018-04-05 23:00:00";;19,975;609;14,375
"2018-04-06 00:00:00";;20,15;1030,25;14
"2018-04-06 01:00:00";;19,9;1142,25;13,475
"2018-04-06 02:00:00";;19,725;1109,25;13,1
"2018-04-06 03:00:00";;19,55;1136;12,725
"2018-04-06 04:00:00";;19,35;1128,5;12,4
"2018-04-06 05:00:00";;19,425;1096,25;12,075
"2018-04-06 06:00:00";;19,75;936,25;11,55
"2018-04-06 07:00:00";;19,9;852;11,3
"2018-04-06 08:00:00";;19,925;670,5;11,275
"2018-04-06 09:00:00";;19,975;601,75;11,7
"2018-04-06 10:00:00";;19,8;581,666667;12,4
"2018-04-06 11:00:00";;19,375;534,75;14,1
"2018-04-06 12:00:00";;19,375;595,75;15,8
"2018-04-06 13:00:00";;19,3;566;17,825
"2018-04-06 14:00:00";;19,3;547,75;19,15
"2018-04-06 15:00:00";;19,325;519,25;20,2
"2018-04-06 16:00:00";;19,5;586,5;20,7
"2018-04-06 17:00:00";;19,4;550,25;20,55
"2018-04-06 18:00:00";;19,4;566,75;20
"2018-04-06 19:00:00";;19,4;538;19,35
"2018-04-06 20:00:00";;19,4;589,25;18,55
"2018-04-06 21:00:00";;19,625;585;17,75
"2018-04-06 22:00:00";;19,875;562,25;17,05
"2018-04-06 23:00:00";;20,066667;587,333333;16,6
"2018-04-07 00:00:00";;19,975;563,5;16,15
"2018-04-07 01:00:00";;19,775;568,5;15,925
"2018-04-07 02:00:00";;19,6;677,25;15,8
"2018-04-07 03:00:00";;19,5;778,75;15,625
"2018-04-07 04:00:00";;19,366667;770,333333;15,4
"2018-04-07 05:00:00";;19,275;759,25;15,175
"2018-04-07 06:00:00";;19,225;764,25;15,025
"2018-04-07 07:00:00";;19,55;709,5;15,125
"2018-04-07 08:00:00";;19,8;654,75;15,625
"2018-04-07 09:00:00";;20,15;690;16,175
"2018-04-07 10:00:00";;20,275;603;16,6
"2018-04-07 11:00:00";;20,1;614,25;17,25
"2018-04-07 12:00:00";;19,875;699,25;18,4
"2018-04-07 13:00:00";;19,7;742,25;19,625
"2018-04-07 14:00:00";;19,55;685,25;20,35
"2018-04-07 15:00:00";;19,5;684,25;20,2
"2018-04-07 16:00:00";;19,625;780;19,725
"2018-04-07 17:00:00";;19,7;829;19,7
"2018-04-07 18:00:00";;19,625;785;19,675
"2018-04-07 19:00:00";;19,5;706;19,35
"2018-04-07 20:00:00";;19,6;680,75;18,8
"2018-04-07 21:00:00";;19,5;632,5;18,5
"2018-04-07 22:00:00";;19,4;588;18,275
"2018-04-07 23:00:00";;19,325;560,5;18
"2018-04-08 00:00:00";;19,275;539,75;17,875
"2018-04-08 01:00:00";;19,2;526,5;17,7
"2018-04-08 02:00:00";;19,175;515;17,475
"2018-04-08 03:00:00";;19,1;498,75;17,25
"2018-04-08 04:00:00";;19,1;487,25;17,075
"2018-04-08 05:00:00";;19;488;16,75
"2018-04-08 06:00:00";;19;477,75;16,425
"2018-04-08 07:00:00";;18,9;473,5;16,15
"2018-04-08 08:00:00";;18,9;448,75;15,975
"2018-04-08 09:00:00";;18,875;456,5;16,425
"2018-04-08 10:00:00";;18,8;442,5;17,325
"2018-04-08 11:00:00";;18,8;455,25;18,15
"2018-04-08 12:00:00";;18,8;469;19,15
"2018-04-08 13:00:00";;18,8;480,5;19,725
"2018-04-08 14:00:00";;18,8;488,5;19,8
"2018-04-08 15:00:00";;18,8;474,5;19,3
"2018-04-08 16:00:00";;18,8;470,25;18,95
"2018-04-08 17:00:00";;18,8;466,5;18,825
"2018-04-08 18:00:00";;18,8;477,25;18,775
"2018-04-08 19:00:00";;18,8;476,5;18,475
"2018-04-08 20:00:00";;18,8;472;18,075
"2018-04-08 21:00:00";;18,8;466,25;17,7
"2018-04-08 22:00:00";;18,775;461;17,55
"2018-04-08 23:00:00";;18,725;463,75;17,4
"2018-04-09 00:00:00";;18,7;454,75;17,2
"2018-04-09 01:00:00";;18,7;451,5;17
"2018-04-09 02:00:00";;18,7;440,25;16,65
"2018-04-09 03:00:00";;18,7;438,25;16,475
"2018-04-09 04:00:00";;18,675;441,5;16,325
"2018-04-09 05:00:00";;18,6;433;16,125
"2018-04-09 06:00:00";;18,6;426;15,866667
"2018-04-09 07:00:00";;18,6;414,75;15,85
"2018-04-09 08:00:00";;18,5;410;15,95
"2018-04-09 09:00:00";;18,5;405,25;16,15
"2018-04-09 10:00:00";;18,5;415,25;16,625
"2018-04-09 11:00:00";;18,5;430,25;17,25
"2018-04-09 12:00:00";;18,5;415,75;17,75
"2018-04-09 13:00:00";;18,5;414;18,225
"2018-04-09 14:00:00";;18,5;429,75;18,775
"2018-04-09 15:00:00";;18,5;435;19,225
"2018-04-09 16:00:00";;18,5;427,75;19,375
"2018-04-09 17:00:00";;18,5;422,25;18,55
"2018-04-09 18:00:00";;18,5;418,25;17,7
"2018-04-09 19:00:00";;18,5;413,25;17,1
"2018-04-09 20:00:00";;18,5;412,5;16,55
"2018-04-09 21:00:00";;18,5;405,75;16,325
"2018-04-09 22:00:00";;18,45;411,25;16
"2018-04-09 23:00:00";;18,4;389,5;15,55
"2018-04-10 00:00:00";;18,4;391,25;15,375
"2018-04-10 01:00:00";;18,4;386,25;15,3
"2018-04-10 01:02:18";0
"2018-04-10 01:28:08";1
"2018-04-10 02:00:00";;18,4;377;15,075
"2018-04-10 03:00:00";;18,3;384,5;15
"2018-04-10 04:00:00";;18,3;375,25;14,75
"2018-04-10 05:00:00";;18,233333;362;13,166667
"2018-04-10 06:00:00";;18,2;355;12,05
"2018-04-10 07:00:00";;18,1;356;12,275
"2018-04-10 08:00:00";;18,075;357,25;12,55
"2018-04-10 09:00:00";;18;365,25;12,925
"2018-04-10 10:00:00";;18;366,5;13,55
"2018-04-10 11:00:00";;17,925;363;14,175
"2018-04-10 12:00:00";;17,9;357,25;15,2
"2018-04-10 13:00:00";;17,9;368;15,466667
"2018-04-10 14:00:00";;17,9;370;16,1
"2018-04-10 15:00:00";;17,925;363;16,475
"2018-04-10 16:00:00";;17,95;363,5;16,25
"2018-04-10 17:00:00";;17,9;359,75;15,825
"2018-04-10 18:00:00";;17,85;370,25;15,475
"2018-04-10 19:00:00";;17,8;372;15,2
"2018-04-10 20:00:00";;17,8;363,5;14,875
"2018-04-10 21:00:00";;17,8;365,25;14,625
"2018-04-10 22:00:00";;17,8;368;14,2
"2018-04-10 23:00:00";;17,725;364,25;14,025
"2018-04-11 00:00:00";;17,7;358,75;13,825
"2018-04-11 01:00:00";;17,7;363,75;13,725
"2018-04-11 02:00:00";;17,625;360,25;13,875
"2018-04-11 03:00:00";;17,6;352,25;13,775
"2018-04-11 04:00:00";;17,575;351,5;13,675
"2018-04-11 05:00:00";;17,5;361,75;13,425
"2018-04-11 06:00:00";;17,5;365;13,2
"2018-04-11 07:00:00";;17,475;364,5;13,175
"2018-04-11 08:00:00";;17,4;371,333333;13,066667
"2018-04-11 09:00:00";;17,4;369,75;13,2
"2018-04-11 10:00:00";;17,375;370;13,875
"2018-04-11 11:00:00";;17,3;374,25;14,5
"2018-04-11 12:00:00";;17,3;377,25;15,15
"2018-04-11 13:00:00";;17,425;405,75;15,775
"2018-04-11 14:00:00";;17,766667;482,666667;16,166667
"2018-04-11 15:00:00";;18,25;509,25;16,45
"2018-04-11 16:00:00";;18,65;491;16,8
"2018-04-11 17:00:00";;18,825;461,75;16,625
"2018-04-11 18:00:00";;19,05;536,25;16,4
"2018-04-11 19:00:00";;19,366667;591,666667;16,133333
"2018-04-11 20:00:00";;19,4;579,5;15,875
"2018-04-11 21:00:00";;19,375;623,75;15,7
"2018-04-11 22:00:00";;19,475;737,5;15,575
"2018-04-11 23:00:00";;19,625;767,25;15,35
"2018-04-12 00:00:00";;19,766667;1112;14,833333
"2018-04-12 01:00:00";;19,625;1193,25;13,9
"2018-04-12 02:00:00";;19,35;1052;13,65
"2018-04-12 03:00:00";;19,25;1001;13,825
"2018-04-12 04:00:00";;19,05;1005,25;13,6
"2018-04-12 05:00:00";;19,1;1022;13,175
"2018-04-12 06:00:00";;19,4;882,5;12,575
"2018-04-12 07:00:00";;19,625;953;12,45
"2018-04-12 08:00:00";;19,425;653;12,45
"2018-04-12 09:00:00";;18,6;409,25;12,875
"2018-04-12 10:00:00";;19,325;552,5;13,675
"2018-04-12 11:00:00";;19,425;546;14,925
"2018-04-12 12:00:00";;19,425;610,5;15,75
"2018-04-12 13:00:00";;19,5;751,25;16,475
"2018-04-12 14:00:00";;19,4;728;16,95
"2018-04-12 15:00:00";;19,5;745;17,1
"2018-04-12 16:00:00";;19,575;705,75;17,1
"2018-04-12 17:00:00";;19,4;634,75;16,825
"2018-04-12 18:00:00";;19,45;679;16,35
"2018-04-12 19:00:00";;19,5;678;15,825
"2018-04-12 20:00:00";;19,4;646,25;15,325
"2018-04-12 21:00:00";;19,5;648,5;15,05
"2018-04-12 22:00:00";;19,65;613;15
"2018-04-12 23:00:00";;19,85;655;14,8
"2018-04-13 00:00:00";;19,9;1069;14,525
"2018-04-13 01:00:00";;19,65;1098,25;14,45
"2018-04-13 02:00:00";;19,6;1118,75;14,275
"2018-04-13 03:00:00";;19,575;1235,75;13,925
"2018-04-13 04:00:00";;19,375;1264,75;13,525
"2018-04-13 05:00:00";;19,275;1253,5;13,15
"2018-04-13 06:00:00";;19,425;1166,25;12,625
"2018-04-13 07:00:00";;19,65;1160,25;12,825
"2018-04-13 08:00:00";;19,95;986,75;12,725
"2018-04-13 09:00:00";;18,95;467,75;12,975
"2018-04-13 10:00:00";;19,15;542,75;13,85
"2018-04-13 11:00:00";;19,375;588,5;15,025
"2018-04-13 12:00:00";;19,35;594,25;15,625
"2018-04-13 13:00:00";;19,225;616,25;16,075
"2018-04-13 14:00:00";;19,275;647,25;16,6
"2018-04-13 15:00:00";;19,25;608,75;17,225
"2018-04-13 16:00:00";;19,2;624;17,525
"2018-04-13 17:00:00";;19,3;674,5;17,475
"2018-04-13 18:00:00";;19,175;660,25;17,05
"2018-04-13 19:00:00";;19,05;629,25;16,625
"2018-04-13 21:00:00";;18,925;646,5;16,1
"2018-04-13 22:00:00";;19;773;15,95
"2018-04-13 23:00:00";;19,125;779;15,875
"2018-04-14 00:00:00";;19,375;834;15,8
"2018-04-14 01:00:00";;19,8;992,666667;15,633333
"2018-04-14 02:00:00";;20,075;1341,25;15,525
"2018-04-14 03:00:00";;19,95;1397;15,4
"2018-04-14 04:00:00";;19,875;1275;15,325
"2018-04-14 05:00:00";;19,725;1183;15,275
"2018-04-14 06:00:00";;19,55;1212,75;15,075
"2018-04-14 07:00:00";;19,433333;1189,666667;14,8
"2018-04-14 08:00:00";;19,325;1191,75;14,725
"2018-04-14 09:00:00";;19,525;1068;14,9
"2018-04-14 10:00:00";;19,9;1072,75;15,1
"2018-04-14 11:00:00";;20,05;902,5;15,1
"2018-04-14 12:00:00";;19,3;516,75;15,25
"2018-04-14 13:00:00";;18,925;487;15,375
"2018-04-14 14:00:00";;19,3;594,5;16,175
"2018-04-14 15:00:00";;19,375;704;16,375
"2018-04-14 16:00:00";;19,4;963,25;16,775
"2018-04-14 17:00:00";;19,525;1159,75;16,975
"2018-04-14 18:00:00";;19,6;1144,25;16,875
"2018-04-14 19:00:00";;19,6;1033,5;16,75
"2018-04-14 20:00:00";;19,75;1129,75;16,525
"2018-04-14 21:00:00";;19,8;1259;16,25
"2018-04-14 22:00:00";;19,6;1080,25;16,1
